,MSE_PLS,ACC_PLS,MSE_AVG,ACC_AVG
PLT_Open,46.227331743847614,0.625,90.54187185576446,0.4791666666666667
ADBE_Open,30.932512504865834,0.4791666666666667,1862.0826538043996,0.5
EIX_Open,59.23173465470787,0.6041666666666666,166.9929842041424,0.5
DGX_Open,51.83587448251836,0.6041666666666666,0.4431962868614365,0.6875
SNX_Open,55.718280174175035,0.5,6015.486522937928,0.4791666666666667
WY_Open,53.107319187332195,0.4583333333333333,0.6207557202360123,0.4583333333333333
DECK_Open,71.60061890498211,0.4375,37397.69238526265,0.4375
LANC_Open,48.128356770759176,0.4583333333333333,37521.36067429036,0.5
VRTX_Open,44.357853608144566,0.4375,4186.232558133451,0.5625
ETH_Open,100.69739959938424,0.5,1.0122590752080842,0.4791666666666667
MCY_Open,66.64163735312191,0.4791666666666667,37558.04759670007,0.5208333333333334
CMA_Open,51.80480998188205,0.5625,0.8563814384095227,0.4375
ZBRA_Open,70.03605233825432,0.5416666666666666,7.035126269539218,0.4375
UNF_Open,13.694962696209284,0.5833333333333334,1866.4913026176744,0.5
NFLX_Open,42.86016357940156,0.5,37587.467077473346,0.5625
WAB_Open,71.90477808138873,0.6666666666666666,883.6452529280891,0.5
MGPI_Open,110.89987691937327,0.5,37556.40709559918,0.5416666666666666
TPX_Open,45.46379319764577,0.4583333333333333,9335.92063018297,0.4375
CNX_Open,61.417320074679004,0.5208333333333334,89.33396306557376,0.4791666666666667
AIF_Open,55.889143660760396,0.4583333333333333,16693.633471261597,0.5208333333333334
ESS_Open,32.513505454363674,0.6041666666666666,2344.310804814261,0.4583333333333333
ARW_Open,86.46926849681984,0.5625,16.640373383195133,0.3958333333333333
MKC_Open,11.48021920452517,0.5416666666666666,139.97794055589583,0.4791666666666667
WOR_Open,29.509465686391028,0.4375,5999.80036887419,0.4791666666666667
NP_Open,66.59556532299294,0.5416666666666666,6007.142555386312,0.5
X_Open,48.83900040254368,0.6041666666666666,9388.613264131061,0.4375
RHI_Open,55.37187988189219,0.625,0.6154701687146086,0.4375
MDC_Open,46.07049513271757,0.4375,16598.439166229837,0.4375
SPOK_Open,20.290128289910967,0.6666666666666666,2364.37331799613,0.6041666666666666
