,MSE_PLS,ACC_PLS,MSE_AVG,ACC_AVG
DFS_Open,139.6663605345924,0.5208333333333334,1.319706360146344,0.3958333333333333
KMPR_Open,75.93812611772567,0.4583333333333333,83.90635413932941,0.3958333333333333
PPBI_Open,106.409620780281,0.3958333333333333,37379.3657803057,0.3958333333333333
DISCK_Open,29.411922157507597,0.5,258.332019671254,0.5
PKE_Open,104.53312917818509,0.4375,37546.24781905206,0.5208333333333334
PLL_Open,57.38773687953053,0.5,37345.45105239352,0.4166666666666667
BXP_Open,71.56696842491272,0.5,4.169797122751872,0.4583333333333333
FOX_Open,24.186510845019292,0.5833333333333334,17.988160695878197,0.5
EBIX_Open,75.11894808967646,0.5416666666666666,2.3339429218527967,0.4791666666666667
FOXA_Open,46.142374071352464,0.6875,34.298144346157706,0.6041666666666666
SLAB_Open,49.47086944406453,0.5208333333333334,379.3651468987937,0.5416666666666666
JBSS_Open,54.20241879182347,0.3333333333333333,37581.26666437065,0.4583333333333333
HCSG_Open,44.14630370360601,0.5,37605.02268488305,0.4166666666666667
GATX_Open,24.413158971331704,0.5,0.4988799892088576,0.5208333333333334
SUP_Open,104.59926199037028,0.5,487.5550026510127,0.6041666666666666
CHDN_Open,49.40523777169039,0.5833333333333334,37563.71242523267,0.4583333333333333
NLSN_Open,151.59616127211478,0.625,0.6274960984501521,0.5
JBLU_Open,113.78924516617317,0.5416666666666666,1.1270012700842098,0.3333333333333333
GBCI_Open,82.59162646071103,0.5208333333333334,770.4268468663723,0.4375
TROW_Open,69.49536788099068,0.625,4182.140718076501,0.5625
FSS_Open,43.70783650278591,0.4375,3068.8201893242986,0.3958333333333333
ITRI_Open,16.60654115196817,0.6458333333333334,0.6666968562582136,0.5
MPWR_Open,45.475662892426286,0.6041666666666666,4185.059552617132,0.5
DISCA_Open,63.90655390987102,0.5625,1035.5098079252896,0.4791666666666667
KEX_Open,42.692519360554975,0.5833333333333334,0.6508727196985237,0.5208333333333334
DIS_Open,46.0296048133614,0.5208333333333334,85.48505585597856,0.5
CCMP_Open,45.74142569967377,0.5,4177.129840782622,0.5208333333333334
BGS_Open,42.427416015789824,0.5208333333333334,7.947214822270836,0.4791666666666667
PEI_Open,79.92142555018616,0.4791666666666667,205.29311645525118,0.5
ANIP_Open,44.27232354798954,0.5,1043.3371224463533,0.4375
CEY_Open,46.21041607140712,0.6875,3051.8171793214533,0.5416666666666666
MBI_Open,29.89200341689359,0.5,0.9034538106108756,0.5
FLO_Open,10.534485981300758,0.4583333333333333,7.851103510849942,0.5416666666666666
GEF_Open,69.32328711143101,0.6041666666666666,0.644423098083181,0.5416666666666666
LYV_Open,86.01384687217691,0.4583333333333333,1.248724663814453,0.4791666666666667
KLAC_Open,48.25126354175035,0.5833333333333334,192.864849099115,0.625
JWN_Open,86.4912671993912,0.5625,33.91828277116913,0.5208333333333334
VNO_Open,94.53094757486187,0.5833333333333334,883.5754407259594,0.4791666666666667
CKH_Open,131.67712535434123,0.625,37564.25348986516,0.5208333333333334
EGP_Open,91.77067994708771,0.4583333333333333,37401.90134071079,0.25
SAIC_Open,27.46567069445849,0.5,115.92541615415787,0.5625
INGR_Open,36.53273002325735,0.4791666666666667,6032.665429695507,0.4375
AAXN_Open,25.06353193868303,0.6666666666666666,3072.3503492031887,0.4583333333333333
CVGW_Open,45.87879030090385,0.4375,9359.057039426427,0.4166666666666667
KOPN_Open,38.584003101002814,0.5208333333333334,5993.624292519155,0.625
SENEA_Open,98.35564037854918,0.6666666666666666,37551.286859749685,0.5
DHR_Open,57.29143649084649,0.4375,9439.416277431354,0.4791666666666667
THG_Open,74.55185065688758,0.5625,52.385894422308866,0.4583333333333333
HOMB_Open,102.79446319930284,0.5833333333333334,37408.86155556752,0.5416666666666666
COR_Open,45.8294038978768,0.625,1238.0278956699726,0.4791666666666667
USAS_Open,20.455852604941562,0.4166666666666667,3071.13962995839,0.7083333333333334
Y_Open,43.48263177390423,0.5,287.3665431245726,0.4791666666666667
SEE_Open,84.4027144006215,0.5208333333333334,99.22173618949772,0.4583333333333333
HSII_Open,88.84189393160989,0.5208333333333334,0.6073143982474948,0.4791666666666667
ASIX_Open,116.38891476602299,0.6875,32.55366043429305,0.5
BMY_Open,56.02984312285398,0.4583333333333333,4178.491579465551,0.5416666666666666
CSX_Open,26.64750192588281,0.6041666666666666,116.95485634728608,0.5208333333333334
MUR_Open,17.069727508753374,0.6041666666666666,1.3453702341825635,0.5625
TOL_Open,59.632959300181,0.5208333333333334,1040.8957396104083,0.5625
UE_Open,111.50226241681305,0.6041666666666666,1.2842538475012892,0.4791666666666667
TISI_Open,25.8430467634583,0.4375,16609.248739032766,0.375
SIX_Open,37.406591000308985,0.4375,1.6647207677301188,0.4583333333333333
CMT_Open,94.56846812177413,0.5,16666.657329558107,0.5416666666666666
INSP_Open,34.162775337411034,0.4375,4199.604359756538,0.5208333333333334
MYE_Open,139.2597986174893,0.5208333333333334,37368.19138887415,0.4583333333333333
RSG_Open,74.41861264514938,0.4791666666666667,37416.03242513583,0.4583333333333333
PRI_Open,30.59103624631307,0.5416666666666666,52.6199159359524,0.5625
BYD_Open,94.89149480334258,0.4791666666666667,0.8919107779827197,0.4166666666666667
KMX_Open,17.527419197022283,0.5208333333333334,0.5558043589687066,0.375
CWT_Open,19.4869889046433,0.6666666666666666,4194.957914880698,0.625
CASY_Open,38.64539622172793,0.5,676.7632842595758,0.375
BDX_Open,10.539890729335132,0.5833333333333334,83.8508749131103,0.5
NTAP_Open,86.31211754727892,0.5208333333333334,16601.263215648247,0.4166666666666667
XPER_Open,92.78249424365565,0.4375,1.076878006942499,0.4375
MTSC_Open,71.58199468422146,0.5416666666666666,9.215763289817165,0.3541666666666667
MKSI_Open,34.19726749948281,0.6458333333333334,52.25752645679389,0.6041666666666666
TMO_Open,36.40692019802448,0.5,6028.607614538904,0.5833333333333334
JBL_Open,62.00845135739817,0.4583333333333333,196.01443058463127,0.5625
KALU_Open,84.66517903165035,0.4166666666666667,37373.91574966086,0.5833333333333334
HUBB_Open,42.214017697900495,0.5416666666666666,9401.861059833369,0.4583333333333333
CVS_Open,88.27016850910883,0.625,9367.227007787193,0.5208333333333334
ABCB_Open,89.32767487513803,0.5625,1.0969966134076283,0.6458333333333334
ED_Open,69.48971760750243,0.4791666666666667,16714.37022843618,0.4583333333333333
CHE_Open,32.84483518908515,0.4166666666666667,1053.2780384297737,0.4791666666666667
XEL_Open,34.931812138325405,0.6875,15.654794648056521,0.6041666666666666
CMTL_Open,68.35712104467277,0.5833333333333334,1.5741941581728942,0.5416666666666666
IDA_Open,60.99890921637176,0.5833333333333334,6024.010518687178,0.5625
AEIS_Open,61.80562965021154,0.5,1510.2357376116283,0.5416666666666666
R_Open,121.19484654359755,0.4583333333333333,1.1224598326841917,0.375
APTV_Open,26.43082899703606,0.5416666666666666,0.5769632915579898,0.4375
RCII_Open,30.632023797911508,0.5416666666666666,122.78519278131459,0.4375
